text,labels
I need fast wifi for online classes and a desk to study at,
somewhere with reliable internet please since I work from home two days a week,
must have fiber internet and a proper workspace,
a study table and strong wifi are non negotiable,
I want to cook my own meals so a kitchen is important,
kitchenette with a microwave would be great,
place should have a stove so I can cook thai food,
need a washing machine in the building,
is there a laundromat nearby or a dryer in the unit,
laundry in the building would save me so much time,
a pool would be amazing and a gym in the building too,
building with sauna and swimming pool preferred,
I want a fitness room in the condo,
I train muay thai so a boxing gym close by matters,
looking for bjj and jiu jitsu gyms in walking distance,
need a gym nearby for weight training,
a crossfit box or climbing wall near the place would be perfect,
yoga studio around the corner would be lovely,
close to a 7-eleven or any convenience store,
need a supermarket for groceries within walking distance,
somewhere near a big c or lotus for cheap groceries,
grocery shopping should be easy from the apartment,
I want to be steps from the bts station,
close to the mrt so I can get to campus fast,
near a skytrain station please,
good bus connections or a boat pier nearby,
next to the airport rail link would help since I fly home monthly,
a mall nearby for shopping and food courts,
close to terminal 21 or emquartier,
shopping center in the neighbourhood please,
I love night markets so chatuchak weekend market area appeals,
being near a street market for cheap food would be great,
a wet market close by for fresh fruit,
looking for a condo or studio apartment,
a serviced apartment would suit my six month stay,
a small flat is all I need,
im fine with a hostel or shared dorm to save money,
co-living space with other students sounds fun,
a cheap hotel or guest house works for the first month,
I want a quiet residential street to sleep well,
peaceful and leafy neighbourhood please I hate noise,
somewhere calm and chill not a party street,
I want nightlife bars and clubs around me,
a vibrant buzzing area with lots going on,
trendy neighbourhood with cafes and bars,
as cheap as possible please im on a tight student budget,
budget is my main concern rent should be low,
im broke so the most affordable option wins,
money is not an issue I want the nicest place,
happy to pay more for comfort and quality,
I want a luxury high end condo with modern furniture,
spacious room with natural light and renovated bathroom,
basic is fine no frills needed,
walkable to campus or just minutes from the station,
I dont mind a long commute if the place is nice,
happy to travel far is fine for the right price,
pet friendly building because I have a cat,
I need wifi a kitchen and to be near the mrt,
quiet condo near a supermarket with laundry please,
gym nearby fast internet and a study desk,
cheap hostel near the bts with a night market close,
serviced apartment with pool near the mall,
near campus quiet street kitchen and washing machine,
muay thai gym and 7-eleven within walking distance,
studio with fiber internet near terminal 21,
lively area near the mrt with bars and street food,
I train bjj three times a week and cook most nights,
dorm bed is fine but I need strong wifi for streaming lectures,
want a flat with a workspace near the skytrain,
big c nearby and a fitness centre in the building,
peaceful street but still close to a shopping mall,
guest house near the weekend market,
condo with sauna near the station,
thanks so much looking forward to bangkok,
arriving in august for my exchange semester,
first time living abroad any area is okay,
my university is in the city centre,
I will stay for four months with my girlfriend,
no special requirements really,
I need fast wifi and a quiet street near the bts,amenity:wifi nearby:transit vibe:quiet
"cheap hostel near a night market, I train muay thai",nearby:gym nearby:transit nearby:flea_market type:hostel
no special needs at all,
quiet condo with wifi near the mrt,amenity:wifi nearby:transit type:condo vibe:quiet
quiet place with wifi near a muay thai gym,amenity:wifi nearby:gym vibe:quiet
quiet place with wifi near a muay thai gym,amenity:wifi nearby:gym vibe:quiet
I hate noisy street,
I hate noisy street and,
I hate noisy street and I want to,
I hate noisy street and I want a muay thai gym near me,nearby:gym
I hate noisy stree,
I hate noisy street,
I hate noisy street and I want,
"I hate noisy street
I want a gym near me",nearby:gym
I hate noisy street,
I hate noisy street.,
I hate noisy street.,
I hate noisy street.,
I like shopping,
I like shopp,
I like shop,
I like to eat,
I am poor,
I am rich,
I want something cheap,
I hate noisy street,
how to check if a hotel is safe,type:hotel
